U.S. dairy situation at a glance,,,,,,,,,,,,,,,,,,,,,
,  Unit,2016 ,2017 ,2018 ,,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,
,,,,,,,,,,,,,,,,,,,,,
Milk production:,,,,,,,,,,,,,,,,,,,,,
  Production (23 States) , Mil. lb.,"199,434","202,455","204,825",,"16,978","17,302","15,922","17,812","17,294","17,976","17,214","17,315","17,235","16,403","16,856","16,363 ","17,133 ",NA,NA,
  Milk cows (23 States),  Thou.,"8,653","8,725","8,734",,"8,736","8,744","8,745","8,738","8,738","8,745","8,743","8,734","8,736","8,724","8,726","8,717 ","8,715 ",NA,NA,
  Milk per cow (23 States),   Lb.,"23,049","23,204","23,451",,"1,943","1,979","1,821","2,038","1,979","2,056","1,969","1,982","1,973","1,880","1,932","1,877 ","1,966 ",NA,NA,
  Production (U.S. estimate) , Mil. lb.,"212,405","215,466","217,476",,"18,058","18,431","16,961","18,975","18,390","19,114","18,304","18,334","18,250","17,368","17,857","17,337 ","18,155 ",NA,NA,
,,,,,,,,,,,,,,,,,,,,,
Milk prices:   ,,,,,,,,,,,,,,,,,,,,,
  All milk, Dol./cwt,16.30,17.60,16.20,,17.20,16.10,15.30,15.60,15.80,16.20,16.30,15.40,15.90,16.70,17.40,17.00,16.40,16.60,NA,
  Class III (cheese milk) 3.5% fat, Dol./cwt,14.87,16.17,14.61,,15.44,14.00,13.40,14.22,14.47,15.18,15.21,14.10,14.95,16.09,15.53,14.44,13.78,13.96,13.89,
  Class IV (butter-powder milk) 3.5% fat, Dol./cwt,13.77,15.16,14.23,,13.51,13.13,12.87,13.04,13.48,14.57,14.91,14.14,14.63,14.81,15.01,15.06,15.09,15.48,15.86,
,,,,,,,,,,,,,,,,,,,,,
Chicago Mercantile Exchange prices:,,,,,,,,,,,,,,,,,,,,,
"  Butter, Grade AA", Dol./lb.,2.0815,2.3278,2.2503,,2.2078,2.1587,2.1211,2.2011,2.3145,2.3751,2.3270,2.2361,2.3009,2.2545,2.2600,2.2480,2.2071,2.2481,2.2659,
"  Cheddar cheese, 40-pound blocks", Dol./lb.,1.5797,1.6106,1.5460,,1.4900,1.4938,1.5157,1.5614,1.6062,1.6397,1.5617,1.5364,1.6341,1.6438,1.5874,1.3951,1.3764,1.4087,1.5589,
"  Cheddar cheese, 500-pound barrels", Dol./lb.,1.5562,1.5341,1.4198,,1.5426,1.3345,1.4096,1.5071,1.4721,1.5870,1.4145,1.3707,1.5835,1.4503,1.3152,1.3100,1.2829,1.2379,1.3867,
Wholesale price:   ,,,,,,,,,,,,,,,,,,,,,
"  Nonfat dry milk, Central and East", Dol./lb.,0.8560,0.8749,0.8094,,0.7161,0.6986,0.7217,0.7183,0.7345,0.8101,0.8191,0.7996,0.8327,0.8943,0.8870,0.8845,0.9125,0.9669,0.9922,
     (Low heat),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Retail prices:,,,,,,,,,,,,,,,,,,,,,
  Consumer Price Index,1982-84=100,240.0,245.1,251.1,,246.5,247.9,249.0,249.6,250.5,251.6,252.0,252.0,252.1,252.4,252.9,252.0,251.2,251.7,NA,
  All food,1982-84=100,247.9,250.1,253.6,,251.2,252.4,252.3,252.4,253.2,253.1,253.2,253.7,254.1,254.4,254.4,254.4,255.2,256.4,NA,
  Dairy products,1982-84=100,217.3,217.5,216.5,,216.9,217.9,216.4,216.5,216.9,215.7,216.1,215.6,216.4,216.6,216.8,215.9,216.7,217.1,NA,
    Fluid milk, Dec 1997=100,140.7,139.7,137.0,,139.6,137.9,137.5,135.7,136.3,136.0,136.8,135.7,136.9,136.9,137.9,138.5,137.9,138.3,NA,
    Other dairy products, Dec 1997=100,146.2,147.2,146.7,,145.3,146.4,146.4,147.0,147.5,146.7,146.1,147.6,148.0,147.3,146.8,144.6,146.3,147.7,NA,
,,,,,,,,,,,,,,,,,,,,,
Dairy product output:   ,,,,,,,,,,,,,,,,,,,,,
  Butter ,  Mil. lb.,"1,839.4","1,847.5","1,884.1",,171.1,182.1,170.1,182.0,175.3,168.1,142.5,134.6,134.0,134.8,143.5,146.1,171.0,NA,NA,
