Year and Quarter,"Milk cows (1,000)",Milk per cow (Pounds),Milk production (Mil. Pounds),,16-Percent protein feed value ($ per cwt),Replacement cow price ($ per head),,,,,,
2009 Avg. or total,"9,202","20,560","189,202",,7.27,"1,390",,,,,,
2010 Avg. or total,"9,123","21,143","192,877",,7.20,"1,330",,,,,,
2011 Avg. or total,"9,199","21,334","196,255",,10.76,"1,420",,,,,,
2012 Avg. or total,"9,237","21,721","200,642",,12.16,"1,430",,,,,,
2013 Avg. or total,"9,224","21,816","201,231",,11.70,"1,380",,,,,,
2014 Avg. or total  ,"9,257","22,259","206,054",,9.51,"1,830",,,,,,
2015 Avg. or total  ,"9,314","22,397","208,597",,8.04,"1,990",,,,,,
2016 Avg. or total  ,"9,325","22,774","212,405",,7.26,"1,760",,,,,,
2017 Avg. or total  ,"9,392","22,941","215,466",,7.30,"1,620",,,,,,
2018 Avg. or total  ,"9,385","23,173","217,476",,7.96,"1,360",,,,,,
