Year,Milk Total Supply (million pounds),Milk Total Utilization (million pounds),Butter Total Supply (million pounds),Butter Total Utilization (million pounds),Nonfat Dry Milk Supply (million pounds),Nonfat Dry Milk Utilization (million pounds),Condensed and Evaporated Milk Supply (million pounds),Condensed and Evaporated Milk Utilization (million pounds),American Cheese Supply (million pounds),American Cheese Utilization (million pounds),Other Than American Cheese Supply (million pounds),Other Than American Cheese Utilization (million pounds),,,,
1987,158121,150648,1302,1159,1747,1569,1009,975,3429,3059,2970,2880,,,,
1997 ,163448,158837,1177,1157,1294,1169,804,772,3691,3280,4371,4301,,,,
2007,201815,192042,1658,1503,1608,1442,754,716,4461,3952,6488,6198,,,,
2017,234165,220726,2071,1903,2592,2272,699,662,5829,5083,8331,7797,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
